"Time","{instance=""redis_exporter:9121"", job=""redis-exporter""}"
2026-03-06 00:17:15,1.42 MB
2026-03-06 00:17:30,1.42 MB
2026-03-06 00:17:45,1.42 MB
2026-03-06 00:18:00,1.45 MB
2026-03-06 00:18:15,1.69 MB
2026-03-06 00:18:30,2.67 MB
2026-03-06 00:18:45,3.64 MB
2026-03-06 00:19:00,4.81 MB
2026-03-06 00:19:15,6.42 MB
2026-03-06 00:19:30,7.53 MB
2026-03-06 00:19:45,9.07 MB
2026-03-06 00:20:00,11.3 MB
2026-03-06 00:20:15,12.8 MB
2026-03-06 00:20:30,14.7 MB
2026-03-06 00:20:45,16.8 MB
2026-03-06 00:21:00,18.7 MB
2026-03-06 00:21:15,22.1 MB
2026-03-06 00:21:30,24.3 MB
2026-03-06 00:21:45,25.8 MB
2026-03-06 00:22:00,28.0 MB
2026-03-06 00:22:15,29.9 MB
2026-03-06 00:22:30,31.9 MB
2026-03-06 00:22:45,33.9 MB
2026-03-06 00:23:00,35.8 MB
2026-03-06 00:23:15,39.7 MB
2026-03-06 00:23:30,41.0 MB
2026-03-06 00:23:45,41.9 MB
2026-03-06 00:24:00,42.7 MB
2026-03-06 00:24:15,43.2 MB
2026-03-06 00:24:30,42.8 MB
2026-03-06 00:24:45,43.4 MB
2026-03-06 00:25:00,43.7 MB
2026-03-06 00:25:15,43.8 MB
2026-03-06 00:25:30,43.8 MB
2026-03-06 00:25:45,43.9 MB
2026-03-06 00:26:00,43.7 MB
2026-03-06 00:26:15,43.2 MB
2026-03-06 00:26:30,42.7 MB
2026-03-06 00:26:45,42.8 MB
2026-03-06 00:27:00,42.6 MB
2026-03-06 00:27:15,42.8 MB
2026-03-06 00:27:30,42.6 MB
2026-03-06 00:27:45,42.4 MB
2026-03-06 00:28:00,42.7 MB
2026-03-06 00:28:15,41.6 MB
