"Time","{instance=""redis_exporter:9121"", job=""redis-exporter""}"
2026-03-06 00:17:00,8.94 MB
2026-03-06 00:17:15,9.23 MB
2026-03-06 00:17:30,9.23 MB
2026-03-06 00:17:45,9.23 MB
2026-03-06 00:18:00,9.23 MB
2026-03-06 00:18:15,9.36 MB
2026-03-06 00:18:30,10.3 MB
2026-03-06 00:18:45,11.3 MB
2026-03-06 00:19:00,12.5 MB
2026-03-06 00:19:15,14.1 MB
2026-03-06 00:19:30,15.4 MB
2026-03-06 00:19:45,16.8 MB
2026-03-06 00:20:00,19.1 MB
2026-03-06 00:20:15,20.6 MB
2026-03-06 00:20:30,22.6 MB
2026-03-06 00:20:45,24.6 MB
2026-03-06 00:21:00,26.5 MB
2026-03-06 00:21:15,30.1 MB
2026-03-06 00:21:30,32.3 MB
2026-03-06 00:21:45,33.7 MB
2026-03-06 00:22:00,36.0 MB
2026-03-06 00:22:15,37.8 MB
2026-03-06 00:22:30,39.9 MB
2026-03-06 00:22:45,41.9 MB
2026-03-06 00:23:00,43.8 MB
2026-03-06 00:23:15,48.0 MB
2026-03-06 00:23:30,49.5 MB
2026-03-06 00:23:45,50.8 MB
2026-03-06 00:24:00,51.7 MB
2026-03-06 00:24:15,52.4 MB
2026-03-06 00:24:30,52.3 MB
2026-03-06 00:24:45,52.8 MB
2026-03-06 00:25:00,53.4 MB
2026-03-06 00:25:15,53.8 MB
2026-03-06 00:25:30,54.3 MB
2026-03-06 00:25:45,54.2 MB
2026-03-06 00:26:00,54.3 MB
2026-03-06 00:26:15,53.8 MB
2026-03-06 00:26:30,54.0 MB
2026-03-06 00:26:45,53.4 MB
2026-03-06 00:27:00,53.6 MB
2026-03-06 00:27:15,53.1 MB
2026-03-06 00:27:30,53.5 MB
2026-03-06 00:27:45,53.1 MB
2026-03-06 00:28:00,53.2 MB
