Time,"{instance=""app:8080"", job=""rainmind-app"", method=""total_process""}",,,,,
2026-03-06 0:17,1.52 ms,,,,,
2026-03-06 0:17,1.71 ms,,,,,
2026-03-06 0:17,1.51 ms,,,,,
2026-03-06 0:18,1.49,,,,,
2026-03-06 0:18,3.97,,,,,
2026-03-06 0:18,13,,,,,
2026-03-06 0:18,17.1,,,,,
2026-03-06 0:19,24.8,,,,,
2026-03-06 0:19,22.3,,,,,
2026-03-06 0:19,17.6,,,,,
2026-03-06 0:19,17.4,,,,,
2026-03-06 0:20,15.9,,,,,
2026-03-06 0:20,16.3,,,,,
2026-03-06 0:20,15.2,,,,,
2026-03-06 0:20,12.4,,,,없을때,13.44095238
2026-03-06 0:21,11.7,,,,있을때,169.63
2026-03-06 0:21,11.6,,,,,
2026-03-06 0:21,10.8,,,,,
2026-03-06 0:21,12.7,,,,,
2026-03-06 0:22,12.1,,,,,
2026-03-06 0:22,11.5,,,,,
2026-03-06 0:22,11.5,,,,,
2026-03-06 0:22,10.8,,,,,
2026-03-06 0:23,12.1,,,,,
2026-03-06 0:23,38.7,,,,,
2026-03-06 0:23,61.8,,,,,
2026-03-06 0:23,93.1,,,,,
2026-03-06 0:24,121,,,,,
2026-03-06 0:24,124,,,,,
2026-03-06 0:24,130,,,,,
2026-03-06 0:24,145,,,,,
2026-03-06 0:25,158,,,,,
2026-03-06 0:25,169,,,,,
2026-03-06 0:25,204,,,,,
2026-03-06 0:25,222,,,,,
2026-03-06 0:26,224,,,,,
2026-03-06 0:26,235,,,,,
2026-03-06 0:26,216,,,,,
2026-03-06 0:26,227,,,,,
2026-03-06 0:27,214,,,,,
2026-03-06 0:27,195,,,,,
2026-03-06 0:27,203,,,,,
2026-03-06 0:27,210,,,,,
2026-03-06 0:28,202,,,,,
2026-03-06 0:28,170 ms,,,,,
