"Time","{instance=""redis_exporter:9121"", job=""redis-exporter""}"
2026-03-06 15:46:00,1.49 MB
2026-03-06 15:46:15,1.49 MB
2026-03-06 15:46:30,1.49 MB
2026-03-06 15:46:45,1.49 MB
2026-03-06 15:47:00,1.49 MB
2026-03-06 15:47:15,1.49 MB
2026-03-06 15:47:30,1.49 MB
2026-03-06 15:47:45,1.49 MB
2026-03-06 15:48:00,1.49 MB
2026-03-06 15:48:15,1.49 MB
2026-03-06 15:48:30,1.49 MB
2026-03-06 15:48:45,1.16 MB
2026-03-06 15:49:00,1.28 MB
2026-03-06 15:49:15,1.31 MB
2026-03-06 15:49:30,1.33 MB
2026-03-06 15:49:45,1.36 MB
2026-03-06 15:50:00,1.41 MB
2026-03-06 15:50:15,2.54 MB
2026-03-06 15:50:30,3.43 MB
2026-03-06 15:50:45,4.58 MB
2026-03-06 15:51:00,5.62 MB
2026-03-06 15:51:15,7.02 MB
2026-03-06 15:51:30,8.09 MB
2026-03-06 15:51:45,9.63 MB
2026-03-06 15:52:00,11.5 MB
2026-03-06 15:52:15,12.9 MB
2026-03-06 15:52:30,14.1 MB
2026-03-06 15:52:45,15.9 MB
2026-03-06 15:53:00,17.8 MB
2026-03-06 15:53:15,20.7 MB
2026-03-06 15:53:30,22.8 MB
2026-03-06 15:53:45,24.6 MB
2026-03-06 15:54:00,25.9 MB
2026-03-06 15:54:15,27.9 MB
2026-03-06 15:54:30,29.6 MB
2026-03-06 15:54:45,31.4 MB
2026-03-06 15:55:00,33.4 MB
2026-03-06 15:55:15,34.7 MB
2026-03-06 15:55:30,36.0 MB
2026-03-06 15:55:45,39.2 MB
2026-03-06 15:56:00,40.3 MB
2026-03-06 15:56:15,41.5 MB
2026-03-06 15:56:30,42.8 MB
2026-03-06 15:56:45,43.7 MB
2026-03-06 15:57:00,44.1 MB
2026-03-06 15:57:15,45.3 MB
2026-03-06 15:57:30,46.5 MB
2026-03-06 15:57:45,47.8 MB
2026-03-06 15:58:00,48.9 MB
2026-03-06 15:58:15,50.1 MB
2026-03-06 15:58:30,51.2 MB
2026-03-06 15:58:45,52.4 MB
2026-03-06 15:59:00,53.4 MB
2026-03-06 15:59:15,54.7 MB
2026-03-06 15:59:30,55.7 MB
2026-03-06 15:59:45,56.8 MB
2026-03-06 16:00:00,57.5 MB
2026-03-06 16:00:15,56.6 MB
2026-03-06 16:00:30,55.7 MB
2026-03-06 16:00:45,54.6 MB
2026-03-06 16:01:00,53.7 MB
