"Time","{instance=""redis_exporter:9121"", job=""redis-exporter""}"
2026-03-06 15:46:00,9.68 MB
2026-03-06 15:46:15,9.68 MB
2026-03-06 15:46:30,9.68 MB
2026-03-06 15:46:45,9.68 MB
2026-03-06 15:47:00,9.68 MB
2026-03-06 15:47:15,9.68 MB
2026-03-06 15:47:30,9.68 MB
2026-03-06 15:47:45,9.68 MB
2026-03-06 15:48:00,9.68 MB
2026-03-06 15:48:15,9.68 MB
2026-03-06 15:48:30,9.68 MB
2026-03-06 15:48:45,8.42 MB
2026-03-06 15:49:00,8.68 MB
2026-03-06 15:49:15,8.94 MB
2026-03-06 15:49:30,8.94 MB
2026-03-06 15:49:45,9.07 MB
2026-03-06 15:50:00,9.21 MB
2026-03-06 15:50:15,10.3 MB
2026-03-06 15:50:30,11.0 MB
2026-03-06 15:50:45,12.2 MB
2026-03-06 15:51:00,13.4 MB
2026-03-06 15:51:15,14.7 MB
2026-03-06 15:51:30,16.0 MB
2026-03-06 15:51:45,17.3 MB
2026-03-06 15:52:00,19.3 MB
2026-03-06 15:52:15,20.7 MB
2026-03-06 15:52:30,22.2 MB
2026-03-06 15:52:45,23.8 MB
2026-03-06 15:53:00,25.6 MB
2026-03-06 15:53:15,28.5 MB
2026-03-06 15:53:30,30.7 MB
2026-03-06 15:53:45,32.4 MB
2026-03-06 15:54:00,34.4 MB
2026-03-06 15:54:15,35.8 MB
2026-03-06 15:54:30,37.6 MB
2026-03-06 15:54:45,39.4 MB
2026-03-06 15:55:00,41.4 MB
2026-03-06 15:55:15,42.8 MB
2026-03-06 15:55:30,44.0 MB
2026-03-06 15:55:45,47.4 MB
2026-03-06 15:56:00,48.3 MB
2026-03-06 15:56:15,49.7 MB
2026-03-06 15:56:30,51.0 MB
2026-03-06 15:56:45,52.1 MB
2026-03-06 15:57:00,52.5 MB
2026-03-06 15:57:15,53.4 MB
2026-03-06 15:57:30,54.7 MB
2026-03-06 15:57:45,56.0 MB
2026-03-06 15:58:00,57.2 MB
2026-03-06 15:58:15,58.4 MB
2026-03-06 15:58:30,59.5 MB
2026-03-06 15:58:45,60.6 MB
2026-03-06 15:59:00,61.7 MB
2026-03-06 15:59:15,62.9 MB
2026-03-06 15:59:30,64.0 MB
2026-03-06 15:59:45,65.1 MB
2026-03-06 16:00:00,65.9 MB
2026-03-06 16:00:15,65.8 MB
2026-03-06 16:00:30,64.5 MB
2026-03-06 16:00:45,64.1 MB
2026-03-06 16:01:00,62.9 MB
