"Time","sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / 1000 / 1000"
2026-02-15 22:57:15,90.9 MB
2026-02-15 22:57:30,205 MB
2026-02-15 22:57:45,211 MB
2026-02-15 22:58:00,190 MB
2026-02-15 22:58:15,166 MB
2026-02-15 22:58:30,127 MB
2026-02-15 22:58:45,116 MB
2026-02-15 22:59:00,91.9 MB
2026-02-15 22:59:15,92.9 MB
2026-02-15 22:59:30,97.8 MB
2026-02-15 22:59:45,235 MB
2026-02-15 23:00:00,170 MB
2026-02-15 23:00:15,188 MB
2026-02-15 23:00:30,165 MB
2026-02-15 23:00:45,140 MB
2026-02-15 23:01:00,155 MB
2026-02-15 23:01:15,142 MB
2026-02-15 23:01:30,118 MB
2026-02-15 23:01:45,110 MB
2026-02-15 23:02:00,114 MB
2026-02-15 23:02:15,118 MB
