"Time","100 * sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / sum(jvm_memory_max_bytes{job=""rainmind-app"", area=""heap""})"
2026-02-15 22:57:30,10.1 %
2026-02-15 22:57:45,10.3 %
2026-02-15 22:58:00,9.29 %
2026-02-15 22:58:15,8.16 %
2026-02-15 22:58:30,6.23 %
2026-02-15 22:58:45,5.69 %
2026-02-15 22:59:00,4.51 %
2026-02-15 22:59:15,4.55 %
2026-02-15 22:59:30,4.79 %
2026-02-15 22:59:45,11.5 %
2026-02-15 23:00:00,8.31 %
2026-02-15 23:00:15,9.21 %
2026-02-15 23:00:30,8.11 %
2026-02-15 23:00:45,6.88 %
2026-02-15 23:01:00,7.59 %
2026-02-15 23:01:15,6.96 %
2026-02-15 23:01:30,5.78 %
2026-02-15 23:01:45,5.40 %
2026-02-15 23:02:00,5.60 %
2026-02-15 23:02:15,5.81 %
2026-02-15 23:02:30,6.01 %
