"Time","{action=""end of minor GC"", cause=""G1 Evacuation Pause"", gc=""G1 Young Generation"", instance=""app:8080"", job=""rainmind-app""}"
2026-02-15 16:47:45,44.1 ms
2026-02-15 16:48:00,34.4 ms
2026-02-15 16:48:15,21.7 ms
2026-02-15 16:48:30,9.24 ms
2026-02-15 16:48:45,0 ms
2026-02-15 16:49:00,0 ms
2026-02-15 16:49:15,0 ms
2026-02-15 16:49:30,0 ms
2026-02-15 16:49:45,0 ms
2026-02-15 16:50:00,0 ms
2026-02-15 16:50:15,0 ms
2026-02-15 16:50:30,0 ms
2026-02-15 16:50:45,0 ms
2026-02-15 16:51:00,0 ms
2026-02-15 16:51:15,0 ms
2026-02-15 16:51:30,0 ms
2026-02-15 16:51:45,0 ms
2026-02-15 16:52:00,0 ms
2026-02-15 16:52:15,0 ms
2026-02-15 16:52:30,0 ms
2026-02-15 16:52:45,0 ms
2026-02-15 16:53:00,0 ms
2026-02-15 16:53:15,0 ms
2026-02-15 16:53:30,0 ms
2026-02-15 16:53:45,0 ms
2026-02-15 16:54:00,0 ms
2026-02-15 16:54:15,0 ms
2026-02-15 16:54:30,0 ms
2026-02-15 16:54:45,0 ms
2026-02-15 16:55:00,0 ms
2026-02-15 16:55:15,0 ms
2026-02-15 16:55:30,0 ms
2026-02-15 16:55:45,0 ms
2026-02-15 16:56:00,0 ms
2026-02-15 16:56:15,0.451 ms
2026-02-15 16:56:30,0.451 ms
2026-02-15 16:56:45,0 ms
2026-02-15 16:57:00,3.14 ms
2026-02-15 16:57:15,6.33 ms
2026-02-15 16:57:30,9.05 ms
2026-02-15 16:57:45,12.1 ms
2026-02-15 16:58:00,10.8 ms
2026-02-15 16:58:15,8.87 ms
2026-02-15 16:58:30,6.29 ms
2026-02-15 16:58:45,5.04 ms
2026-02-15 16:59:00,4.15 ms
2026-02-15 16:59:15,3.62 ms
2026-02-15 16:59:30,3.05 ms
2026-02-15 16:59:45,3.22 ms
2026-02-15 17:00:00,3.05 ms
2026-02-15 17:00:15,3.09 ms
2026-02-15 17:00:30,3.07 ms
2026-02-15 17:00:45,3.09 ms
2026-02-15 17:01:00,3.00 ms
2026-02-15 17:01:15,3.16 ms
2026-02-15 17:01:30,3.07 ms
2026-02-15 17:01:45,3.09 ms
2026-02-15 17:02:00,2.75 ms
2026-02-15 17:02:15,1.91 ms
2026-02-15 17:02:30,1.05 ms
2026-02-15 17:02:45,0.255 ms
