"Time","{container_label_com_docker_compose_config_hash=""81391a06a0cd4e9cb7138294c227747570b8e9147d03963143a52600b346cb00"", container_label_com_docker_compose_container_number=""1"", container_label_com_docker_compose_depends_on=""redis:service_healthy:false,mysql:service_healthy:false"", container_label_com_docker_compose_image=""sha256:475ada14b2e5d5c276c19caef8d7aaaf7571474d950463cc8f515f508fb56369"", container_label_com_docker_compose_oneoff=""False"", container_label_com_docker_compose_project=""rainmind"", container_label_com_docker_compose_project_config_files=""/home/ubuntu/apps/rainmind/docker-compose.ec2.yaml"", container_label_com_docker_compose_project_working_dir=""/home/ubuntu/apps/rainmind"", container_label_com_docker_compose_service=""app"", container_label_com_docker_compose_version=""5.0.2"", container_label_org_opencontainers_image_ref_name=""ubuntu"", container_label_org_opencontainers_image_version=""24.04"", id=""/system.slice/docker-a7590cfb908544e694c3b51494856028f8ecefa7029cffd190e7518c8485b98e.scope"", image=""rainmind-app"", instance=""cadvisor:8080"", job=""cadvisor"", name=""rainmind_app""}"
2026-02-15 16:48:15,1.10 GB
2026-02-15 16:48:30,1.10 GB
2026-02-15 16:48:45,1.07 GB
2026-02-15 16:49:00,1.07 GB
2026-02-15 16:49:15,1.07 GB
2026-02-15 16:49:30,1.07 GB
2026-02-15 16:49:45,1.07 GB
2026-02-15 16:50:00,1.07 GB
2026-02-15 16:50:15,1.07 GB
2026-02-15 16:50:30,1.07 GB
2026-02-15 16:50:45,1.07 GB
2026-02-15 16:51:00,1.07 GB
2026-02-15 16:51:15,1.07 GB
2026-02-15 16:51:30,1.07 GB
2026-02-15 16:51:45,1.07 GB
2026-02-15 16:52:00,1.07 GB
2026-02-15 16:52:15,1.07 GB
2026-02-15 16:52:30,1.07 GB
2026-02-15 16:52:45,1.07 GB
2026-02-15 16:53:00,1.07 GB
2026-02-15 16:53:15,1.07 GB
2026-02-15 16:53:30,1.07 GB
2026-02-15 16:53:45,1.07 GB
2026-02-15 16:54:00,1.07 GB
2026-02-15 16:54:15,1.07 GB
2026-02-15 16:54:30,1.07 GB
2026-02-15 16:54:45,1.07 GB
2026-02-15 16:55:00,1.07 GB
2026-02-15 16:55:15,1.07 GB
2026-02-15 16:55:30,1.07 GB
2026-02-15 16:55:45,1.07 GB
2026-02-15 16:56:00,1.07 GB
2026-02-15 16:56:15,1.07 GB
2026-02-15 16:56:30,1.07 GB
2026-02-15 16:56:45,1.07 GB
2026-02-15 16:57:00,1.07 GB
2026-02-15 16:57:15,1.07 GB
2026-02-15 16:57:30,1.07 GB
2026-02-15 16:57:45,1.07 GB
2026-02-15 16:58:00,1.07 GB
2026-02-15 16:58:15,1.07 GB
2026-02-15 16:58:30,1.07 GB
2026-02-15 16:58:45,1.07 GB
2026-02-15 16:59:00,1.07 GB
2026-02-15 16:59:15,1.07 GB
2026-02-15 16:59:30,1.07 GB
2026-02-15 16:59:45,1.07 GB
2026-02-15 17:00:00,1.07 GB
2026-02-15 17:00:15,1.07 GB
2026-02-15 17:00:30,1.07 GB
