Time,"100 * sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / sum(jvm_memory_max_bytes{job=""rainmind-app"", area=""heap""})",,
2026-02-15 16:47,8.80%,,
2026-02-15 16:47,23.00%,,
2026-02-15 16:48,9.29%,,
2026-02-15 16:48,9.49%,,
2026-02-15 16:48,9.70%,,
2026-02-15 16:48,9.91%,,
2026-02-15 16:49,10.10%,,
2026-02-15 16:49,10.20%,,
2026-02-15 16:49,10.30%,,
2026-02-15 16:49,10.50%,,
2026-02-15 16:50,10.60%,,
2026-02-15 16:50,10.80%,,
2026-02-15 16:50,10.90%,,
2026-02-15 16:50,11.10%,,
2026-02-15 16:51,11.20%,,
2026-02-15 16:51,11.40%,,
2026-02-15 16:51,11.60%,,
2026-02-15 16:51,11.70%,,
2026-02-15 16:52,11.80%,,
2026-02-15 16:52,12.00%,,
2026-02-15 16:52,12.10%,,
2026-02-15 16:52,12.30%,,
2026-02-15 16:53,12.40%,,
2026-02-15 16:53,12.60%,,
2026-02-15 16:53,12.70%,,
2026-02-15 16:53,12.80%,,
2026-02-15 16:54,13.00%,,
2026-02-15 16:54,13.10%,,
2026-02-15 16:54,13.30%,,
2026-02-15 16:54,13.40%,,
2026-02-15 16:55,13.60%,,
2026-02-15 16:55,13.70%,,
2026-02-15 16:55,13.90%,,
2026-02-15 16:55,14.00%,,
2026-02-15 16:56,14.00%,,
2026-02-15 16:56,4.01%,,
2026-02-15 16:56,4.21%,,
2026-02-15 16:56,4.37%,,
2026-02-15 16:57,6.96%,,
2026-02-15 16:57,6.90%,,
2026-02-15 16:57,7.25%,,
2026-02-15 16:57,10.60%,,
2026-02-15 16:58,11.30%,,
2026-02-15 16:58,12.10%,,
2026-02-15 16:58,9.47%,,
2026-02-15 16:58,12.10%,,
2026-02-15 16:59,9.29%,,
2026-02-15 16:59,5.13%,,
2026-02-15 16:59,8.87%,,
2026-02-15 16:59,6.44%,,
2026-02-15 17:00,10.80%,,
2026-02-15 17:00,6.35%,,
2026-02-15 17:00,9.01%,,
2026-02-15 17:00,5.85%,,8.39%
2026-02-15 17:01,9.60%,,
2026-02-15 17:01,5.79%,,
2026-02-15 17:01,11.00%,,
2026-02-15 17:01,6.92%,,
2026-02-15 17:02,5.23%,,
2026-02-15 17:02,5.43%,,
2026-02-15 17:02,5.64%,,
