"Time","{action=""end of minor GC"", cause=""G1 Evacuation Pause"", gc=""G1 Young Generation"", instance=""app:8080"", job=""rainmind-app""}"
2026-02-15 16:34:15,0.0909 ms
2026-02-15 16:34:30,0 ms
2026-02-15 16:34:45,0 ms
2026-02-15 16:35:00,0 ms
2026-02-15 16:35:15,0 ms
2026-02-15 16:35:30,0 ms
2026-02-15 16:35:45,0 ms
2026-02-15 16:36:00,0 ms
2026-02-15 16:36:15,0 ms
2026-02-15 16:36:30,0 ms
2026-02-15 16:36:45,0 ms
2026-02-15 16:37:00,0 ms
2026-02-15 16:37:15,0 ms
2026-02-15 16:37:30,0 ms
2026-02-15 16:37:45,0 ms
2026-02-15 16:38:00,0.0909 ms
2026-02-15 16:38:15,0.0909 ms
2026-02-15 16:38:30,0.0909 ms
2026-02-15 16:38:45,0.0909 ms
2026-02-15 16:39:00,0 ms
2026-02-15 16:39:15,0 ms
2026-02-15 16:39:30,0 ms
2026-02-15 16:39:45,0 ms
2026-02-15 16:40:00,0 ms
2026-02-15 16:40:15,0 ms
2026-02-15 16:40:30,0 ms
2026-02-15 16:40:45,0 ms
2026-02-15 16:41:00,0 ms
2026-02-15 16:41:15,0 ms
2026-02-15 16:41:30,0 ms
2026-02-15 16:41:45,0 ms
2026-02-15 16:42:00,0 ms
2026-02-15 16:42:15,0.127 ms
2026-02-15 16:42:30,0.127 ms
2026-02-15 16:42:45,0.273 ms
2026-02-15 16:43:00,10.5 ms
2026-02-15 16:43:15,22.7 ms
2026-02-15 16:43:30,37.3 ms
2026-02-15 16:43:45,46.5 ms
2026-02-15 16:44:00,47.5 ms
2026-02-15 16:44:15,45.8 ms
2026-02-15 16:44:30,42.9 ms
2026-02-15 16:44:45,38.8 ms
2026-02-15 16:45:00,38.8 ms
2026-02-15 16:45:15,41.4 ms
2026-02-15 16:45:30,40.8 ms
2026-02-15 16:45:45,40.6 ms
2026-02-15 16:46:00,43.2 ms
2026-02-15 16:46:15,41.5 ms
2026-02-15 16:46:30,42.9 ms
2026-02-15 16:46:45,44.9 ms
2026-02-15 16:47:00,45.2 ms
2026-02-15 16:47:15,45.0 ms
2026-02-15 16:47:30,44.6 ms
2026-02-15 16:47:45,44.1 ms
2026-02-15 16:48:00,34.4 ms
2026-02-15 16:48:15,21.7 ms
2026-02-15 16:48:30,9.24 ms
2026-02-15 16:48:45,0 ms
2026-02-15 16:49:00,0 ms
2026-02-15 16:49:15,0 ms
