"Time","sum(rate(http_server_requests_seconds_count{job=""rainmind-app"", uri=""/v1/schedules"", method=""POST""}[1m]))"
2026-02-15 16:43:00,18.5
2026-02-15 16:43:15,40.2
2026-02-15 16:43:30,64.2
2026-02-15 16:43:45,89.9
2026-02-15 16:44:00,105
2026-02-15 16:44:15,118
2026-02-15 16:44:30,131
2026-02-15 16:44:45,133
2026-02-15 16:45:00,141
2026-02-15 16:45:15,132
2026-02-15 16:45:30,131
2026-02-15 16:45:45,129
2026-02-15 16:46:00,132
2026-02-15 16:46:15,132
2026-02-15 16:46:30,135
2026-02-15 16:46:45,131
2026-02-15 16:47:00,133
2026-02-15 16:47:15,130
2026-02-15 16:47:30,130
2026-02-15 16:47:45,130
2026-02-15 16:48:00,97.6
2026-02-15 16:48:15,61.5
2026-02-15 16:48:30,25.1
2026-02-15 16:48:45,0
2026-02-15 16:49:00,0
2026-02-15 16:49:15,0
2026-02-15 16:49:30,0
