Time,"100 * sum(jvm_memory_used_bytes{job=""rainmind-app"", area=""heap""}) / sum(jvm_memory_max_bytes{job=""rainmind-app"", area=""heap""})",,,
2026-02-15 16:34,2.60%,,,
2026-02-15 16:34,2.75%,,,
2026-02-15 16:34,2.85%,,,
2026-02-15 16:35,3.01%,,,
2026-02-15 16:35,3.11%,,,
2026-02-15 16:35,3.26%,,,
2026-02-15 16:35,3.37%,,,
2026-02-15 16:36,3.52%,,,
2026-02-15 16:36,3.62%,,,
2026-02-15 16:36,3.78%,,,
2026-02-15 16:36,3.88%,,,
2026-02-15 16:37,4.03%,,,
2026-02-15 16:37,4.19%,,,
2026-02-15 16:37,4.29%,,,
2026-02-15 16:37,4.45%,,,
2026-02-15 16:38,2.30%,,,
2026-02-15 16:38,2.46%,,,
2026-02-15 16:38,2.61%,,,
2026-02-15 16:38,2.76%,,,
2026-02-15 16:39,2.92%,,,
2026-02-15 16:39,3.02%,,,
2026-02-15 16:39,3.12%,,,
2026-02-15 16:39,3.28%,,,
2026-02-15 16:40,3.38%,,,
2026-02-15 16:40,3.53%,,,
2026-02-15 16:40,3.69%,,,
2026-02-15 16:40,3.79%,,,
2026-02-15 16:41,3.95%,,,
2026-02-15 16:41,4.10%,,,
2026-02-15 16:41,4.20%,,,
2026-02-15 16:41,4.36%,,,
2026-02-15 16:42,4.46%,,,
2026-02-15 16:42,2.28%,,,
2026-02-15 16:42,2.38%,,,
2026-02-15 16:42,3.96%,,,
2026-02-15 16:43,18.00%,,,
2026-02-15 16:43,17.30%,,,
2026-02-15 16:43,7.32%,,,
2026-02-15 16:43,8.39%,,,
2026-02-15 16:44,5.06%,,,
2026-02-15 16:44,22.30%,,,
2026-02-15 16:44,5.92%,,,
2026-02-15 16:44,33.90%,,,
2026-02-15 16:45,13.60%,,,
2026-02-15 16:45,26.60%,,,17.61%
2026-02-15 16:45,16.30%,,,
2026-02-15 16:45,35.20%,,,
2026-02-15 16:46,5.56%,,,
2026-02-15 16:46,30.00%,,,
2026-02-15 16:46,28.30%,,,
2026-02-15 16:46,31.20%,,,
2026-02-15 16:47,19.40%,,,
2026-02-15 16:47,30.40%,,,
2026-02-15 16:47,8.80%,,,
2026-02-15 16:47,23.00%,,,
2026-02-15 16:48,9.29%,,,
2026-02-15 16:48,9.49%,,,
2026-02-15 16:48,9.70%,,,
2026-02-15 16:48,9.91%,,,
2026-02-15 16:49,10.10%,,,
2026-02-15 16:49,10.20%,,,
