"Time","{instance=""mysql-exporter:9104"", job=""mysql""}"
2026-03-08 16:13:30,19.5 MB
2026-03-08 16:13:45,19.5 MB
2026-03-08 16:14:00,19.5 MB
2026-03-08 16:14:15,19.5 MB
2026-03-08 16:14:30,19.5 MB
2026-03-08 16:14:45,19.5 MB
2026-03-08 16:15:00,19.5 MB
2026-03-08 16:15:15,19.5 MB
2026-03-08 16:15:30,19.5 MB
2026-03-08 16:15:45,19.5 MB
2026-03-08 16:16:00,19.5 MB
2026-03-08 16:16:15,21.4 MB
2026-03-08 16:16:30,21.9 MB
2026-03-08 16:16:45,22.2 MB
2026-03-08 16:17:00,22.4 MB
2026-03-08 16:17:15,22.6 MB
2026-03-08 16:17:30,23.2 MB
2026-03-08 16:17:45,23.6 MB
2026-03-08 16:18:00,24.0 MB
2026-03-08 16:18:15,24.3 MB
2026-03-08 16:18:30,24.7 MB
2026-03-08 16:18:45,25.1 MB
2026-03-08 16:19:00,25.6 MB
2026-03-08 16:19:15,25.9 MB
2026-03-08 16:19:30,26.2 MB
2026-03-08 16:19:45,26.6 MB
2026-03-08 16:20:00,27.0 MB
2026-03-08 16:20:15,27.4 MB
2026-03-08 16:20:30,27.8 MB
2026-03-08 16:20:45,28.1 MB
2026-03-08 16:21:00,28.5 MB
2026-03-08 16:21:15,28.9 MB
2026-03-08 16:21:30,29.3 MB
2026-03-08 16:21:45,29.6 MB
2026-03-08 16:22:00,30.1 MB
2026-03-08 16:22:15,30.4 MB
2026-03-08 16:22:30,30.7 MB
2026-03-08 16:22:45,31.2 MB
2026-03-08 16:23:00,31.6 MB
2026-03-08 16:23:15,32.0 MB
2026-03-08 16:23:30,32.4 MB
2026-03-08 16:23:45,32.8 MB
2026-03-08 16:24:00,33.1 MB
2026-03-08 16:24:15,33.5 MB
2026-03-08 16:24:30,33.8 MB
2026-03-08 16:24:45,34.2 MB
2026-03-08 16:25:00,34.5 MB
2026-03-08 16:25:15,35.0 MB
2026-03-08 16:25:30,35.4 MB
2026-03-08 16:25:45,35.7 MB
2026-03-08 16:26:00,36.1 MB
2026-03-08 16:26:15,36.4 MB
2026-03-08 16:26:30,36.8 MB
2026-03-08 16:26:45,37.2 MB
2026-03-08 16:27:00,37.6 MB
2026-03-08 16:27:15,38.1 MB
2026-03-08 16:27:30,38.5 MB
2026-03-08 16:27:45,38.8 MB
2026-03-08 16:28:00,39.2 MB
2026-03-08 16:28:15,39.4 MB
2026-03-08 16:28:30,39.4 MB
