"Time","{error=""none"", exception=""none"", instance=""app:8080"", job=""snuxi-local-app"", method=""GET"", outcome=""SUCCESS"", status=""200"", uri=""/actuator/prometheus""}"
2026-03-08 16:13:30,2.96 ms
2026-03-08 16:13:45,2.96 ms
2026-03-08 16:14:00,2.96 ms
2026-03-08 16:14:15,2.96 ms
2026-03-08 16:14:30,2.96 ms
2026-03-08 16:14:45,2.96 ms
2026-03-08 16:15:00,2.96 ms
2026-03-08 16:15:15,2.96 ms
2026-03-08 16:15:30,5.35 ms
2026-03-08 16:15:45,5.35 ms
2026-03-08 16:16:00,5.35 ms
2026-03-08 16:16:15,97.7 ms
2026-03-08 16:16:30,97.7 ms
2026-03-08 16:16:45,97.7 ms
2026-03-08 16:17:00,126 ms
2026-03-08 16:17:15,126 ms
2026-03-08 16:17:30,126 ms
2026-03-08 16:17:45,126 ms
2026-03-08 16:18:00,126 ms
2026-03-08 16:18:15,126 ms
2026-03-08 16:18:30,126 ms
2026-03-08 16:18:45,126 ms
2026-03-08 16:19:00,126 ms
2026-03-08 16:19:15,126 ms
2026-03-08 16:19:30,120 ms
2026-03-08 16:19:45,150 ms
2026-03-08 16:20:00,150 ms
2026-03-08 16:20:15,150 ms
2026-03-08 16:20:30,150 ms
2026-03-08 16:20:45,150 ms
2026-03-08 16:21:00,150 ms
2026-03-08 16:21:15,150 ms
2026-03-08 16:21:30,150 ms
2026-03-08 16:21:45,150 ms
2026-03-08 16:22:00,199 ms
2026-03-08 16:22:15,199 ms
2026-03-08 16:22:30,199 ms
2026-03-08 16:22:45,199 ms
2026-03-08 16:23:00,199 ms
2026-03-08 16:23:15,199 ms
2026-03-08 16:23:30,199 ms
2026-03-08 16:23:45,199 ms
2026-03-08 16:24:00,199 ms
2026-03-08 16:24:15,199 ms
2026-03-08 16:24:30,139 ms
2026-03-08 16:24:45,139 ms
2026-03-08 16:25:00,139 ms
2026-03-08 16:25:15,139 ms
2026-03-08 16:25:30,139 ms
2026-03-08 16:25:45,139 ms
2026-03-08 16:26:00,139 ms
2026-03-08 16:26:15,139 ms
2026-03-08 16:26:30,136 ms
2026-03-08 16:26:45,136 ms
2026-03-08 16:27:00,136 ms
2026-03-08 16:27:15,136 ms
2026-03-08 16:27:30,136 ms
2026-03-08 16:27:45,136 ms
2026-03-08 16:28:00,136 ms
2026-03-08 16:28:15,136 ms
2026-03-08 16:28:30,128 ms
