Time,"{instance=""mysql-exporter:9104"", job=""mysql""}"
2026-03-08 16:50,19.5 MB
2026-03-08 16:51,19.5 MB
2026-03-08 16:51,19.5 MB
2026-03-08 16:51,19.5 MB
2026-03-08 16:51,19.5 MB
2026-03-08 16:52,19.5 MB
2026-03-08 16:52,19.5 MB
2026-03-08 16:52,19.5 MB
2026-03-08 16:52,19.5 MB
2026-03-08 16:53,19.5 MB
2026-03-08 16:53,19.5 MB
2026-03-08 16:53,21.5 MB
2026-03-08 16:53,21.8 MB
2026-03-08 16:54,22.1 MB
2026-03-08 16:54,22.4 MB
2026-03-08 16:54,22.7 MB
2026-03-08 16:54,23.3 MB
2026-03-08 16:55,23.6 MB
2026-03-08 16:55,24.0 MB
2026-03-08 16:55,24.2 MB
2026-03-08 16:55,24.6 MB
2026-03-08 16:56,25.1 MB
2026-03-08 16:56,25.5 MB
2026-03-08 16:56,25.8 MB
2026-03-08 16:56,26.1 MB
2026-03-08 16:57,26.5 MB
2026-03-08 16:57,27.0 MB
2026-03-08 16:57,27.4 MB
2026-03-08 16:57,27.7 MB
2026-03-08 16:58,28.0 MB
2026-03-08 16:58,28.4 MB
2026-03-08 16:58,28.7 MB
2026-03-08 16:58,29.2 MB
2026-03-08 16:59,29.6 MB
2026-03-08 16:59,29.9 MB
2026-03-08 16:59,30.3 MB
2026-03-08 16:59,30.6 MB
2026-03-08 17:00,31.1 MB
2026-03-08 17:00,31.5 MB
2026-03-08 17:00,31.8 MB
2026-03-08 17:00,32.3 MB
2026-03-08 17:01,32.7 MB
2026-03-08 17:01,32.9 MB
2026-03-08 17:01,33.4 MB
2026-03-08 17:01,33.7 MB
2026-03-08 17:02,34.1 MB
2026-03-08 17:02,34.4 MB
2026-03-08 17:02,34.8 MB
2026-03-08 17:02,35.4 MB
2026-03-08 17:03,35.6 MB
2026-03-08 17:03,36.0 MB
2026-03-08 17:03,36.4 MB
2026-03-08 17:03,36.8 MB
2026-03-08 17:04,37.1 MB
2026-03-08 17:04,37.6 MB
2026-03-08 17:04,37.9 MB
2026-03-08 17:04,38.3 MB
2026-03-08 17:05,38.6 MB
2026-03-08 17:05,38.9 MB
2026-03-08 17:05,39.0 MB
2026-03-08 17:05,39.0 MB
