"Time","{error=""none"", exception=""none"", instance=""app:8080"", job=""snuxi-local-app"", method=""GET"", outcome=""SUCCESS"", status=""200"", uri=""/actuator/prometheus""}"
2026-03-08 16:50:45,2.16 ms
2026-03-08 16:51:00,2.16 ms
2026-03-08 16:51:15,2.16 ms
2026-03-08 16:51:30,2.22 ms
2026-03-08 16:51:45,2.22 ms
2026-03-08 16:52:00,2.22 ms
2026-03-08 16:52:15,2.22 ms
2026-03-08 16:52:30,2.22 ms
2026-03-08 16:52:45,2.22 ms
2026-03-08 16:53:00,2.22 ms
2026-03-08 16:53:15,2.22 ms
2026-03-08 16:53:30,136 ms
2026-03-08 16:53:45,136 ms
2026-03-08 16:54:00,136 ms
2026-03-08 16:54:15,136 ms
2026-03-08 16:54:30,172 ms
2026-03-08 16:54:45,172 ms
2026-03-08 16:55:00,172 ms
2026-03-08 16:55:15,172 ms
2026-03-08 16:55:30,172 ms
2026-03-08 16:55:45,172 ms
2026-03-08 16:56:00,172 ms
2026-03-08 16:56:15,172 ms
2026-03-08 16:56:30,151 ms
2026-03-08 16:56:45,151 ms
2026-03-08 16:57:00,151 ms
2026-03-08 16:57:15,151 ms
2026-03-08 16:57:30,151 ms
2026-03-08 16:57:45,151 ms
2026-03-08 16:58:00,151 ms
2026-03-08 16:58:15,151 ms
2026-03-08 16:58:30,143 ms
2026-03-08 16:58:45,143 ms
2026-03-08 16:59:00,159 ms
2026-03-08 16:59:15,211 ms
2026-03-08 16:59:30,211 ms
2026-03-08 16:59:45,211 ms
2026-03-08 17:00:00,211 ms
2026-03-08 17:00:15,211 ms
2026-03-08 17:00:30,211 ms
2026-03-08 17:00:45,211 ms
2026-03-08 17:01:00,211 ms
2026-03-08 17:01:15,211 ms
2026-03-08 17:01:30,137 ms
2026-03-08 17:01:45,137 ms
2026-03-08 17:02:00,137 ms
2026-03-08 17:02:15,147 ms
2026-03-08 17:02:30,147 ms
2026-03-08 17:02:45,147 ms
2026-03-08 17:03:00,147 ms
2026-03-08 17:03:15,147 ms
2026-03-08 17:03:30,147 ms
2026-03-08 17:03:45,147 ms
2026-03-08 17:04:00,147 ms
2026-03-08 17:04:15,147 ms
2026-03-08 17:04:30,147 ms
2026-03-08 17:04:45,147 ms
2026-03-08 17:05:00,147 ms
2026-03-08 17:05:15,147 ms
2026-03-08 17:05:30,137 ms
2026-03-08 17:05:45,137 ms
