"Time","{error=""none"", exception=""none"", instance=""app:8080"", job=""snuxi-local-app"", method=""GET"", outcome=""SUCCESS"", status=""200"", uri=""/actuator/prometheus""}"
2026-03-08 22:26:45,296 ms
2026-03-08 22:27:00,296 ms
2026-03-08 22:27:15,296 ms
2026-03-08 22:27:30,296 ms
2026-03-08 22:27:45,296 ms
2026-03-08 22:28:00,131 ms
2026-03-08 22:28:15,131 ms
2026-03-08 22:28:30,131 ms
2026-03-08 22:28:45,131 ms
2026-03-08 22:29:00,8.15 ms
2026-03-08 22:29:15,8.15 ms
2026-03-08 22:29:30,149 ms
2026-03-08 22:29:45,175 ms
2026-03-08 22:30:00,175 ms
2026-03-08 22:30:15,185 ms
2026-03-08 22:30:30,185 ms
2026-03-08 22:30:45,185 ms
2026-03-08 22:31:00,185 ms
2026-03-08 22:31:15,185 ms
2026-03-08 22:31:30,202 ms
2026-03-08 22:31:45,202 ms
2026-03-08 22:32:00,202 ms
2026-03-08 22:32:15,202 ms
2026-03-08 22:32:30,202 ms
2026-03-08 22:32:45,202 ms
2026-03-08 22:33:00,202 ms
2026-03-08 22:33:15,202 ms
2026-03-08 22:33:30,202 ms
2026-03-08 22:33:45,202 ms
2026-03-08 22:34:00,178 ms
2026-03-08 22:34:15,178 ms
2026-03-08 22:34:30,178 ms
2026-03-08 22:34:45,178 ms
2026-03-08 22:35:00,178 ms
2026-03-08 22:35:15,178 ms
2026-03-08 22:35:30,178 ms
2026-03-08 22:35:45,178 ms
2026-03-08 22:36:00,154 ms
2026-03-08 22:36:15,154 ms
2026-03-08 22:36:30,156 ms
2026-03-08 22:36:45,156 ms
2026-03-08 22:37:00,156 ms
2026-03-08 22:37:15,156 ms
2026-03-08 22:37:30,156 ms
2026-03-08 22:37:45,156 ms
2026-03-08 22:38:00,156 ms
2026-03-08 22:38:15,156 ms
2026-03-08 22:38:30,156 ms
2026-03-08 22:38:45,156 ms
2026-03-08 22:39:00,149 ms
2026-03-08 22:39:15,149 ms
2026-03-08 22:39:30,149 ms
2026-03-08 22:39:45,149 ms
2026-03-08 22:40:00,141 ms
2026-03-08 22:40:15,141 ms
2026-03-08 22:40:30,144 ms
2026-03-08 22:40:45,144 ms
2026-03-08 22:41:00,146 ms
2026-03-08 22:41:15,146 ms
2026-03-08 22:41:30,146 ms
2026-03-08 22:41:45,146 ms
