"Time","sum(rate(container_cpu_usage_seconds_total{name=""snuxi-local-mysql""}[1m])) * 100"
2026-03-09 21:51:00,4.28
2026-03-09 21:51:15,4.31
2026-03-09 21:51:30,25.3
2026-03-09 21:51:45,24.0
2026-03-09 21:52:00,24.2
2026-03-09 21:52:15,16.1
2026-03-09 21:52:30,0.852
2026-03-09 21:52:45,0.819
2026-03-09 21:53:00,0.857
2026-03-09 21:53:15,0.786
2026-03-09 21:53:30,0.795
2026-03-09 21:53:45,16.3
2026-03-09 21:54:00,40.9
2026-03-09 21:54:15,65.3
2026-03-09 21:54:30,90.2
2026-03-09 21:54:45,93.3
2026-03-09 21:55:00,93.3
2026-03-09 21:55:15,93.1
2026-03-09 21:55:30,93.2
2026-03-09 21:55:45,93.5
2026-03-09 21:56:00,93.7
2026-03-09 21:56:15,93.9
2026-03-09 21:56:30,94.0
2026-03-09 21:56:45,89.2
2026-03-09 21:57:00,88.3
2026-03-09 21:57:15,93.7
2026-03-09 21:57:30,93.6
2026-03-09 21:57:45,93.7
2026-03-09 21:58:00,93.9
2026-03-09 21:58:15,89.3
2026-03-09 21:58:30,94.2
2026-03-09 21:58:45,89.5
2026-03-09 21:59:00,94.1
2026-03-09 21:59:15,93.7
2026-03-09 21:59:30,93.4
2026-03-09 21:59:45,93.5
2026-03-09 22:00:00,93.8
2026-03-09 22:00:15,94.0
2026-03-09 22:00:30,94.0
2026-03-09 22:00:45,94.0
2026-03-09 22:01:00,93.7
2026-03-09 22:01:15,93.0
2026-03-09 22:01:30,92.9
2026-03-09 22:01:45,92.8
2026-03-09 22:02:00,93.2
2026-03-09 22:02:15,93.8
2026-03-09 22:02:30,89.0
2026-03-09 22:02:45,93.9
2026-03-09 22:03:00,93.9
2026-03-09 22:03:15,93.8
2026-03-09 22:03:30,93.8
2026-03-09 22:03:45,93.9
2026-03-09 22:04:00,93.9
2026-03-09 22:04:15,94.0
2026-03-09 22:04:30,94.0
2026-03-09 22:04:45,93.9
2026-03-09 22:05:00,94.0
2026-03-09 22:05:15,88.1
2026-03-09 22:05:30,93.8
2026-03-09 22:05:45,79.9
2026-03-09 22:06:00,56.3
