"Time","{instance=""app:8080"", job=""snuxi-local-app"", pool=""HikariPool-1""}"
2026-03-09 21:51:00,0 ms
2026-03-09 21:51:15,37.0 ms
2026-03-09 21:51:30,9.60 s
2026-03-09 21:51:45,9.60 s
2026-03-09 21:52:00,9.60 s
2026-03-09 21:52:15,6.82 s
2026-03-09 21:52:30,0 ms
2026-03-09 21:52:45,0 ms
2026-03-09 21:53:00,0 ms
2026-03-09 21:53:15,0 ms
2026-03-09 21:53:30,0 ms
2026-03-09 21:53:45,6.68 s
2026-03-09 21:54:00,19.7 s
2026-03-09 21:54:15,32.8 s
2026-03-09 21:54:30,45.9 s
2026-03-09 21:54:45,48.1 s
2026-03-09 21:55:00,48.2 s
2026-03-09 21:55:15,48.2 s
2026-03-09 21:55:30,48.2 s
2026-03-09 21:55:45,48.3 s
2026-03-09 21:56:00,48.2 s
2026-03-09 21:56:15,48.2 s
2026-03-09 21:56:30,48.2 s
2026-03-09 21:56:45,48.3 s
2026-03-09 21:57:00,48.3 s
2026-03-09 21:57:15,48.3 s
2026-03-09 21:57:30,48.4 s
2026-03-09 21:57:45,48.3 s
2026-03-09 21:58:00,48.4 s
2026-03-09 21:58:15,48.2 s
2026-03-09 21:58:30,48.2 s
2026-03-09 21:58:45,48.2 s
2026-03-09 21:59:00,48.2 s
2026-03-09 21:59:15,48.1 s
2026-03-09 21:59:30,48.2 s
2026-03-09 21:59:45,48.3 s
2026-03-09 22:00:00,48.3 s
2026-03-09 22:00:15,48.2 s
2026-03-09 22:00:30,48.2 s
2026-03-09 22:00:45,48.2 s
2026-03-09 22:01:00,48.3 s
2026-03-09 22:01:15,47.8 s
2026-03-09 22:01:30,47.8 s
2026-03-09 22:01:45,47.7 s
2026-03-09 22:02:00,48.0 s
2026-03-09 22:02:15,48.6 s
2026-03-09 22:02:30,48.5 s
2026-03-09 22:02:45,48.3 s
2026-03-09 22:03:00,48.3 s
2026-03-09 22:03:15,48.4 s
2026-03-09 22:03:30,48.5 s
2026-03-09 22:03:45,48.3 s
2026-03-09 22:04:00,48.2 s
2026-03-09 22:04:15,48.1 s
2026-03-09 22:04:30,48.4 s
2026-03-09 22:04:45,48.3 s
2026-03-09 22:05:00,48.4 s
2026-03-09 22:05:15,48.2 s
2026-03-09 22:05:30,48.3 s
2026-03-09 22:05:45,40.6 s
2026-03-09 22:06:00,27.4 s
