"Time","{instance=""app:8080"", job=""snuxi-local-app"", pool=""HikariPool-1""}"
2026-03-09 19:32:30,0
2026-03-09 19:32:45,0
2026-03-09 19:33:00,0
2026-03-09 19:33:15,0
2026-03-09 19:33:30,0.800
2026-03-09 19:33:45,0.520
2026-03-09 19:34:00,0.740
2026-03-09 19:34:15,0.620
2026-03-09 19:34:30,0.680
2026-03-09 19:34:45,0.840
2026-03-09 19:35:00,1
2026-03-09 19:35:15,1
2026-03-09 19:35:30,0.980
2026-03-09 19:35:45,0.960
2026-03-09 19:36:00,1
2026-03-09 19:36:15,1
2026-03-09 19:36:30,1
2026-03-09 19:36:45,1
2026-03-09 19:37:00,0.920
2026-03-09 19:37:15,1
2026-03-09 19:37:30,0.980
2026-03-09 19:37:45,1
2026-03-09 19:38:00,1
2026-03-09 19:38:15,0.940
2026-03-09 19:38:30,0.900
2026-03-09 19:38:45,1
2026-03-09 19:39:00,1
2026-03-09 19:39:15,1
2026-03-09 19:39:30,0.980
2026-03-09 19:39:45,0.980
2026-03-09 19:40:00,0.980
2026-03-09 19:40:15,0.980
2026-03-09 19:40:30,0.980
2026-03-09 19:40:45,1
2026-03-09 19:41:00,0.980
2026-03-09 19:41:15,0.980
2026-03-09 19:41:30,1
2026-03-09 19:41:45,1
2026-03-09 19:42:00,1
2026-03-09 19:42:15,1
2026-03-09 19:42:30,0.940
2026-03-09 19:42:45,1
2026-03-09 19:43:00,1
2026-03-09 19:43:15,1
2026-03-09 19:43:30,1
2026-03-09 19:43:45,0.980
2026-03-09 19:44:00,1
2026-03-09 19:44:15,0.980
2026-03-09 19:44:30,0.540
2026-03-09 19:44:45,1
2026-03-09 19:45:00,1
2026-03-09 19:45:15,1
2026-03-09 19:45:30,0
2026-03-09 19:45:45,0
2026-03-09 19:46:00,0
2026-03-09 19:46:15,0
2026-03-09 19:46:30,0
2026-03-09 19:46:45,0
2026-03-09 19:47:00,0
2026-03-09 19:47:15,0
2026-03-09 19:47:30,0
