"Time","sum(rate(container_cpu_usage_seconds_total{name=""snuxi-local-mysql""}[1m])) * 100"
2026-03-09 19:32:15,22.1
2026-03-09 19:32:30,10.4
2026-03-09 19:32:45,0.843
2026-03-09 19:33:00,2.41
2026-03-09 19:33:15,2.54
2026-03-09 19:33:30,20.8
2026-03-09 19:33:45,42.0
2026-03-09 19:34:00,59.1
2026-03-09 19:34:15,77.8
2026-03-09 19:34:30,81.4
2026-03-09 19:34:45,81.3
2026-03-09 19:35:00,79.3
2026-03-09 19:35:15,86.6
2026-03-09 19:35:30,88.7
2026-03-09 19:35:45,91.1
2026-03-09 19:36:00,91.4
2026-03-09 19:36:15,91.7
2026-03-09 19:36:30,91.7
2026-03-09 19:36:45,91.7
2026-03-09 19:37:00,91.6
2026-03-09 19:37:15,91.5
2026-03-09 19:37:30,91.7
2026-03-09 19:37:45,91.7
2026-03-09 19:38:00,91.7
2026-03-09 19:38:15,91.8
2026-03-09 19:38:30,91.8
2026-03-09 19:38:45,91.9
2026-03-09 19:39:00,91.9
2026-03-09 19:39:15,91.8
2026-03-09 19:39:30,91.6
2026-03-09 19:39:45,86.9
2026-03-09 19:40:00,91.4
2026-03-09 19:40:15,91.3
2026-03-09 19:40:30,91.3
2026-03-09 19:40:45,91.5
2026-03-09 19:41:00,91.8
2026-03-09 19:41:15,92.1
2026-03-09 19:41:30,92.2
2026-03-09 19:41:45,92.3
2026-03-09 19:42:00,92.2
2026-03-09 19:42:15,92.2
2026-03-09 19:42:30,92.2
2026-03-09 19:42:45,92.2
2026-03-09 19:43:00,92.3
2026-03-09 19:43:15,92.3
2026-03-09 19:43:30,92.3
2026-03-09 19:43:45,92.3
2026-03-09 19:44:00,92.2
2026-03-09 19:44:15,92.2
2026-03-09 19:44:30,92.3
2026-03-09 19:44:45,92.3
2026-03-09 19:45:00,92.2
2026-03-09 19:45:15,92.4
2026-03-09 19:45:30,68.5
2026-03-09 19:45:45,44.2
2026-03-09 19:46:00,19.7
2026-03-09 19:46:15,0.902
2026-03-09 19:46:30,0.839
2026-03-09 19:46:45,0.867
2026-03-09 19:47:00,0.827
2026-03-09 19:47:15,0.847
