"Time","{instance=""app:8080"", job=""snuxi-local-app"", pool=""HikariPool-1""}"
2026-03-09 19:32:15,17.9 s
2026-03-09 19:32:30,8.74 s
2026-03-09 19:32:45,0 ms
2026-03-09 19:33:00,0 ms
2026-03-09 19:33:15,0 ms
2026-03-09 19:33:30,6.17 s
2026-03-09 19:33:45,15.4 s
2026-03-09 19:34:00,24.9 s
2026-03-09 19:34:15,34.1 s
2026-03-09 19:34:30,34.6 s
2026-03-09 19:34:45,35.8 s
2026-03-09 19:35:00,39.1 s
2026-03-09 19:35:15,42.3 s
2026-03-09 19:35:30,45.6 s
2026-03-09 19:35:45,47.8 s
2026-03-09 19:36:00,47.7 s
2026-03-09 19:36:15,48.0 s
2026-03-09 19:36:30,48.1 s
2026-03-09 19:36:45,48.2 s
2026-03-09 19:37:00,48.3 s
2026-03-09 19:37:15,48.3 s
2026-03-09 19:37:30,48.3 s
2026-03-09 19:37:45,48.3 s
2026-03-09 19:38:00,48.3 s
2026-03-09 19:38:15,48.2 s
2026-03-09 19:38:30,48.1 s
2026-03-09 19:38:45,48.1 s
2026-03-09 19:39:00,48.1 s
2026-03-09 19:39:15,48.1 s
2026-03-09 19:39:30,48.1 s
2026-03-09 19:39:45,48.2 s
2026-03-09 19:40:00,48.2 s
2026-03-09 19:40:15,48.2 s
2026-03-09 19:40:30,48.1 s
2026-03-09 19:40:45,48.1 s
2026-03-09 19:41:00,48.0 s
2026-03-09 19:41:15,48.2 s
2026-03-09 19:41:30,48.2 s
2026-03-09 19:41:45,48.3 s
2026-03-09 19:42:00,48.3 s
2026-03-09 19:42:15,48.2 s
2026-03-09 19:42:30,48.0 s
2026-03-09 19:42:45,47.8 s
2026-03-09 19:43:00,47.8 s
2026-03-09 19:43:15,48.2 s
2026-03-09 19:43:30,48.3 s
2026-03-09 19:43:45,48.5 s
2026-03-09 19:44:00,48.5 s
2026-03-09 19:44:15,48.5 s
2026-03-09 19:44:30,47.7 s
2026-03-09 19:44:45,46.6 s
2026-03-09 19:45:00,46.6 s
2026-03-09 19:45:15,46.5 s
2026-03-09 19:45:30,39.2 s
2026-03-09 19:45:45,25.9 s
2026-03-09 19:46:00,12.7 s
2026-03-09 19:46:15,0 ms
2026-03-09 19:46:30,0 ms
2026-03-09 19:46:45,0 ms
2026-03-09 19:47:00,0 ms
2026-03-09 19:47:15,0 ms
